1.2	36.5	1.9	0	1.2	0	28
1.2	0	0	0	23.2	46.4	0
7	23	6.5	1.4	21.2	0	2.1
1.4	38.2	2.4	0	4.8	1	1.2
3.9	55.4	8.4	0	0	0	0
28.4	2.4	0	0	0	0	4.6
11.4	1.7	6.1	0	2.2	0	1.9
29.7	2	2	0	2.7	3.7	0
74.3	1.7	1.4	0	1	0	0
0	0	1.9	2.7	1.9	1.7	5.1
0	0	0	19.6	0	0	4.6
0	0	0	3	4.7	2.5	2
62.5	0	0	1.4	0	0	0
21.6	0	0	6.5	1	0	0
41.9	0	0	0	0	0	0
35.4	0	0	0	1.9	0	1.4
0	2.7	6.1	0	3.4	22.8	0
10.1	22	5.9	2.2	0	0	2.5
83	0	0	0	0	0	0
30.6	0	0	0	0	0	0
19.4	14.7	1.7	1.4	2.1	0	3.3
19.2	5	0	0	2.4	2.4	0
5.7	0	0	4.4	12.4	8.3	7.8
0	5.1	3.2	8.1	0	1	5.1
2.3	3	0	0	4.6	45.7	0
0	1.5	0	0	9.8	42.3	0
31.8	0	0	0	24.6	10.3	0
11.9	0	0	0	0	0	0
20.4	0	0	1	21.1	14.5	5
7.2	1.1	0	0	1.5	3.7	7
57.8	0	12.5	1.2	4.8	0	1.2
4	0	0	2.6	2.1	3	1.4
42.8	0	0	0	0	0	0
66.2	0	0	1	0	0	0
75.2	0	0	0	0	0	0
28.1	0	0	1.9	0	0	0
74.8	0	0	1.2	0	0	0
79.1	0	0	0	0	0	0
25.1	0	0	2.9	2.2	3.4	1.9
17.9	0	0	1.7	1.7	0	1.2
41.5	0	0	0	0	0	0
30.6	4.1	1.6	3.9	0	0	12.5
7.6	19.4	15.5	3.2	2.9	0	1.5
0	5.1	9.2	7.5	10.5	0	0
2.8	23.4	1.7	0	15.1	10.9	0
2.1	4	3.3	0	8	29.3	0
3.2	1	0	0	5.1	17.8	0
2.4	12.3	0	0	1.2	2.2	2.2
35.2	6.9	1.2	2.9	13.6	1	0
7.8	0	0	1.9	4.7	0	29.4
2.9	0	4.6	1.7	10.6	27.6	3.1
0	0	0	1.9	17.8	50.8	9.2
0	0	0	8.7	6.1	0	0
0	1	0	0	19.3	61.1	0
0	7.7	0	0	11.6	54.3	0
13.7	4.1	0	2.7	8	1.4	1.1
1.2	1.5	0	0	14.1	70.7	1
2.9	3.1	2.4	14.3	53.7	3.3	0
11.2	0	0	2	61.1	5.1	0
3.8	0	5.4	2.3	15.8	9.5	2.7
14.2	0	0	2.8	13.2	22.4	0
9.7	1.5	24.3	1.7	2.4	0	0
8.7	31.9	0	0	3.4	0	0
2.7	12.1	6.5	7	1.7	0	1.9
14.5	1.2	5.2	0	1.6	8.4	0
19.8	1	0	0	24.1	24.6	0
7.6	15.1	13.7	2.7	5.4	0	1
40.7	0	0	0	0	0	0
37.1	1.2	0	0	0	0	0
2.5	3.2	5.4	0	12.7	5	1.6
3.5	5.6	19.8	1.4	9.5	2.1	1.2
1	8.6	1.5	0	6.9	39.8	0
0	0	0	0	37.9	19.8	0
1	25.2	1	0	2.4	20.9	5.5
4.1	0	1.5	1.9	16.2	3.1	1.5
16.5	4.5	2.8	1.7	16.5	3.8	2.4
4.9	15.9	1.5	0	3.4	25.7	1
12.4	13.9	7.7	0	13.1	11.6	1.2
5.9	41.8	11.2	0	0	0	0
74.8	1.2	0	1.7	0	0	0
1.9	22.9	1	1.2	0	0	3.9
1.9	1	0	0	25.8	37.1	0
2.1	3	1.4	0	12.8	16.9	0
28.7	0	14.1	3.2	6.4	8.4	0
1.4	10.1	2.4	3.4	18.1	0	1.4
0	10.3	16	7.9	0	0	0
4.2	26.5	12	3.9	1.5	0	0
1.2	8.8	2.7	3.9	0	0	0
2.4	0	3.6	1.9	2.9	4.6	0
1.9	3.9	6.3	3.9	1.4	0	3.1
12.3	0	0	0	10	12.8	0
8	13.8	18.9	2.2	13.1	0	0
11.9	24.5	0	5.6	2.7	0	0
5.8	8.5	0	9	1.7	0	0
1.2	12	0	0	0	0	1.7
0	9.8	9.1	0	0	0	0
11.8	7	0	1.2	0	0	0
30.1	9.6	0	2.3	0	0	0
0	0	14.6	0	4.5	1.7	4.5
0	0	7.3	1.2	8.5	10.4	3.6
4.6	4.6	0	1.7	1.7	0	0
2.4	5.2	3.8	0	4.3	3.1	3.1
0	6.2	1.7	0	11.2	1.7	1.7
2.7	8.3	1.5	1	0	0	3.2
5	0	0	4.1	4.7	15.3	0
0	3.4	1.8	0	6.7	25.2	0
0	19.2	3.4	0	1.2	5.8	1.2
37.5	3.6	20.2	0	3.4	0	0
35.9	12.4	0	0	0	0	0
38.6	3.2	13.6	0	1.2	0	0
34.7	1.4	2.3	0	0	0	0
16	2.1	2.6	0	26.5	10.1	0
26.7	0	0	0	0	4.9	0
0	45.4	0	0	0	0	3.8
2.2	12	1.2	0	0	0	1
4.8	0	0	0	8.7	23.3	30.8
0	0	1	0	9.2	7.7	10.1
1.5	29.5	22.1	5.4	0	1.5	0
18.8	17.1	2.2	0	4.6	3.7	0
0	8.7	0	1.4	2.2	4.1	1.9
1.2	31.2	5.7	0	3.5	3.5	0
15.5	0	0	2.3	0	0	0
23.2	0	0	0	27.6	11.1	0
74.2	0	0	3.7	0	0	0
13	8.6	1.2	3.5	1.2	1.6	1.9
4.1	0	0	0	9.2	10.1	0
29.7	0	0	4.9	0	0	0
30.3	1.9	0	0	2.1	1.4	2.1
17.1	0	19.6	0	0	0	2.5
33.9	1	14.6	0	0	0	0
48.3	2	0	0	0	0	0
50.4	3.8	0	0	0	0	0
56.8	5	0	0	0	0	0
17.3	6.7	19.7	0	0	0	0
16.8	19.6	4	0	0	0	0
18.1	1.7	2	0	1.7	5.9	0
1.1	3.9	2.1	0	3.9	4.6	2.3
0	4.7	0	0	2.6	2.6	0
0	12	1.7	0	2.7	0	0
1.7	7	1.2	0	4.8	3.1	0
